temp,temp_min,temp_max,pressure,humidity,sea_level,ground_level,wind_speed,wind_degree,cloud,population,date,year,month,day,dayofweek
38.99000000000001,38.99000000000001,38.99000000000001,1006,35,1006,1002,1.39,211,52,9700,2024-02-21,2024,2,21,2
38.43000000000001,38.43000000000001,38.43000000000001,1006,29,1006,963,0.57,20,43,11114,2024-02-21,2024,2,21,2
37.73000000000002,37.73000000000002,37.73000000000002,1007,26,1007,950,0.26,230,79,7910,2024-02-21,2024,2,21,2
38.28000000000003,38.28000000000003,38.28000000000003,1006,28,1006,958,0.57,39,50,32161,2024-02-21,2024,2,21,2
38.210000000000036,38.210000000000036,38.210000000000036,1006,27,1006,957,0.54,163,62,3663,2024-02-21,2024,2,21,2
37.98000000000002,37.98000000000002,37.98000000000002,1007,29,1007,967,1.02,191,83,12667,2024-02-21,2024,2,21,2
39.24000000000001,39.24000000000001,39.24000000000001,1006,34,1006,1003,1.17,156,43,8642,2024-02-21,2024,2,21,2
38.28000000000003,38.28000000000003,38.28000000000003,1006,28,1006,959,0.82,45,47,11026,2024-02-21,2024,2,21,2
37.700000000000045,37.700000000000045,37.700000000000045,1007,28,1007,959,0.92,191,80,4107,2024-02-21,2024,2,21,2
37.200000000000045,37.200000000000045,37.200000000000045,1007,27,1007,952,0.92,187,82,11803,2024-02-21,2024,2,21,2
38.02000000000004,38.02000000000004,38.02000000000004,1006,27,1006,957,0.61,183,71,4023,2024-02-21,2024,2,21,2
37.73000000000002,37.73000000000002,37.73000000000002,1007,25,1007,947,0.2,293,77,7200,2024-02-21,2024,2,21,2
37.99000000000001,37.99000000000001,37.99000000000001,1006,27,1006,957,0.63,187,73,4023,2024-02-21,2024,2,21,2
38.48000000000002,38.48000000000002,38.48000000000002,1007,25,1007,959,0.38,293,82,9387,2024-02-21,2024,2,21,2
38.59000000000003,38.59000000000003,38.59000000000003,1006,33,1006,984,1.44,186,39,8642,2024-02-21,2024,2,21,2
40.44,40.44,40.44,1006,31,1006,1000,1.23,180,30,8686,2024-02-21,2024,2,21,2
39.94,39.94,39.94,1006,29,1006,992,1.82,38,45,11026,2024-02-21,2024,2,21,2
38.33000000000004,38.33000000000004,38.33000000000004,1006,32,1006,978,1.74,222,45,13261,2024-02-21,2024,2,21,2
37.920000000000016,37.920000000000016,37.920000000000016,1006,32,1006,971,1.62,229,43,13261,2024-02-21,2024,2,21,2
38.52000000000004,38.52000000000004,38.52000000000004,1006,29,1006,976,2.0,40,43,11258,2024-02-21,2024,2,21,2
39.05000000000001,39.05000000000001,39.05000000000001,1006,28,1006,968,0.6,257,57,11026,2024-02-21,2024,2,21,2
40.94,40.94,40.94,1006,31,1006,1003,0.99,127,67,14159,2024-02-21,2024,2,21,2
39.72000000000003,39.72000000000003,39.72000000000003,1006,28,1006,983,1.51,51,43,11026,2024-02-21,2024,2,21,2
37.89000000000004,37.89000000000004,37.89000000000004,1006,33,1006,982,2.36,221,72,28357,2024-02-21,2024,2,21,2
40.49000000000001,40.49000000000001,40.49000000000001,1006,27,1006,981,0.95,215,58,13354,2024-02-21,2024,2,21,2
38.83000000000004,38.83000000000004,38.83000000000004,1006,34,1006,1000,1.65,233,52,10367,2024-02-21,2024,2,21,2
38.80000000000001,38.80000000000001,38.80000000000001,1006,28,1006,968,1.16,244,82,14933,2024-02-21,2024,2,21,2
40.85000000000002,40.85000000000002,40.85000000000002,1005,29,1005,1000,0.79,313,43,7289,2024-02-21,2024,2,21,2
40.19,40.19,40.19,1006,28,1006,985,0.64,183,41,4608,2024-02-21,2024,2,21,2
38.650000000000034,38.650000000000034,38.650000000000034,1006,32,1006,983,1.48,246,40,11941,2024-02-21,2024,2,21,2
38.35000000000002,38.35000000000002,38.35000000000002,1006,33,1006,989,1.94,222,46,13259,2024-02-21,2024,2,21,2
38.710000000000036,38.710000000000036,38.710000000000036,1006,32,1006,988,1.95,247,58,11637,2024-02-21,2024,2,21,2
39.53000000000003,39.53000000000003,39.53000000000003,1006,32,1006,994,1.42,187,28,13261,2024-02-21,2024,2,21,2
40.34000000000003,40.34000000000003,40.34000000000003,1006,30,1006,1000,0.97,227,39,8146,2024-02-21,2024,2,21,2
39.25,39.25,39.25,1006,34,1006,1002,1.16,215,43,9998,2024-02-21,2024,2,21,2
38.10000000000002,38.10000000000002,38.10000000000002,1006,33,1006,983,2.02,220,46,13110,2024-02-21,2024,2,21,2
38.29000000000002,38.29000000000002,38.29000000000002,1006,34,1006,994,2.22,258,57,8642,2024-02-21,2024,2,21,2
38.60000000000002,38.60000000000002,38.60000000000002,1006,34,1006,995,1.71,224,48,12534,2024-02-21,2024,2,21,2
38.370000000000005,38.370000000000005,38.370000000000005,1006,31,1006,974,1.8,226,52,13261,2024-02-21,2024,2,21,2
